pair,source,target,initial_fitness,initial_rmse,final_fitness,final_rmse,improvement_fitness,improvement_rmse
0-1,pointcloud_0004.pcd,pointcloud_0000.pcd,0.00020508613617719443,0.006859212465613566,0.00030762920426579164,0.0032998422440231492,0.0001025430680885972,0.0035593702215904167
1-2,pointcloud_0008.pcd,pointcloud_0004.pcd,0.00010217635639113109,0.007324369530533424,0.00010217635639113109,0.0,0.0,0.007324369530533424
2-3,pointcloud_0012.pcd,pointcloud_0008.pcd,0.00010290183165260341,0.009718033122109658,0.00010290183165260341,0.0,0.0,0.009718033122109658
3-4,pointcloud_0016.pcd,pointcloud_0012.pcd,0.0,0.0,0.0,0.0,0.0,0.0
4-5,pointcloud_0020.pcd,pointcloud_0016.pcd,0.00010301844030081384,0.009414217424040897,0.00010301844030081384,0.0,0.0,0.009414217424040897
5-6,pointcloud_0024.pcd,pointcloud_0020.pcd,0.0,0.0,0.0,0.0,0.0,0.0
6-7,pointcloud_0028.pcd,pointcloud_0024.pcd,0.00020603688060162769,0.008469118071907871,0.00041207376120325537,0.0030198446725355874,0.00020603688060162769,0.0054492733993722845
7-8,pointcloud_0032.pcd,pointcloud_0028.pcd,0.00020774903916069389,0.007382144210468765,0.00041549807832138777,0.004021730905440102,0.00020774903916069389,0.0033604133050286634
8-9,pointcloud_0036.pcd,pointcloud_0032.pcd,0.00041241365089184453,0.00830697052182638,0.00041241365089184453,0.006020546640514524,0.0,0.002286423881311855
9-10,pointcloud_0040.pcd,pointcloud_0036.pcd,0.0,0.0,0.0,0.0,0.0,0.0
10-11,pointcloud_0044.pcd,pointcloud_0040.pcd,0.00030861022528546445,0.009095176506435388,0.0005143503754757741,0.006277892284658445,0.00020574015019030962,0.002817284221776944
11-12,pointcloud_0048.pcd,pointcloud_0044.pcd,0.0,0.0,0.0,0.0,0.0,0.0
12-13,pointcloud_0052.pcd,pointcloud_0048.pcd,0.0,0.0,0.0,0.0,0.0,0.0
13-14,pointcloud_0056.pcd,pointcloud_0052.pcd,0.0,0.0,0.0,0.0,0.0,0.0
14-15,pointcloud_0060.pcd,pointcloud_0056.pcd,0.0,0.0,0.0,0.0,0.0,0.0
15-16,pointcloud_0064.pcd,pointcloud_0060.pcd,0.00010234367004400778,0.0028254147997522857,0.00010234367004400778,0.0,0.0,0.0028254147997522857
16-17,pointcloud_0068.pcd,pointcloud_0064.pcd,0.00041186161449752884,0.007095370807209919,0.00041186161449752884,0.003087127865394472,0.0,0.004008242941815447
17-18,pointcloud_0072.pcd,pointcloud_0068.pcd,0.00010144045445323595,0.008407458614483396,0.0004057618178129438,0.003431200902283632,0.00030432136335970786,0.004976257712199764
18-19,pointcloud_0076.pcd,pointcloud_0072.pcd,0.0,0.0,0.0,0.0,0.0,0.0
19-20,pointcloud_0080.pcd,pointcloud_0076.pcd,0.00010126582278481013,0.008545003346959314,0.00010126582278481013,0.0,0.0,0.008545003346959314
