pair_index,source_file,target_file,ransac_init_fitness,ransac_init_rmse,icp_initial_fitness,icp_initial_rmse,icp_final_fitness,icp_final_rmse,status
0-1,pointcloud_0004.pcd,pointcloud_0000.pcd,0.0,-1.0,0.9923092698933552,0.020929597136145377,0.9925143560295324,0.020715042356545445,Success
1-2,pointcloud_0008.pcd,pointcloud_0004.pcd,0.0,-1.0,0.9917237151323184,0.021574947843569323,0.9926433023398386,0.02152412627937852,Success
2-3,pointcloud_0012.pcd,pointcloud_0008.pcd,0.0,-1.0,0.9913562461411813,0.022322170227485342,0.9913562461411813,0.022051475455476765,Success
3-4,pointcloud_0016.pcd,pointcloud_0012.pcd,0.0,-1.0,0.9919404835709857,0.02273833407601527,0.9926637735069229,0.022775235982431183,Success
4-5,pointcloud_0020.pcd,pointcloud_0016.pcd,0.0,-1.0,0.9919645616565366,0.021975211999486505,0.9925826722983414,0.02207013738806579,Success
5-6,pointcloud_0024.pcd,pointcloud_0020.pcd,0.0,-1.0,0.9870573617726237,0.023147451011918802,0.9869538206668047,0.023025514908523184,Success
6-7,pointcloud_0028.pcd,pointcloud_0024.pcd,0.0,-1.0,0.9875347687236016,0.02352528997100326,0.9877408056042032,0.023357628442532277,Success
7-8,pointcloud_0032.pcd,pointcloud_0028.pcd,0.0,-1.0,0.9914822893944115,0.02129503909555892,0.992521034590215,0.02136604079805249,Success
8-9,pointcloud_0036.pcd,pointcloud_0032.pcd,0.0,-1.0,0.9200948551397051,0.045221964187697215,0.9846375915042788,0.02504558550197353,Success
9-10,pointcloud_0040.pcd,pointcloud_0036.pcd,0.0,-1.0,0.5870682565789473,0.05189874944394533,0.9609375,0.026423220025268715,Success
10-11,pointcloud_0044.pcd,pointcloud_0040.pcd,0.0,-1.0,0.5991153173541817,0.05253669089355356,0.972122209649213,0.02486022253821109,Success
11-12,pointcloud_0048.pcd,pointcloud_0044.pcd,0.0,-1.0,0.5841088045812455,0.05232019025786815,0.963799979548011,0.025583242970656776,Success
12-13,pointcloud_0052.pcd,pointcloud_0048.pcd,0.0,-1.0,0.5884790298130369,0.05193475674655069,0.9759474482061647,0.024134731760457828,Success
13-14,pointcloud_0056.pcd,pointcloud_0052.pcd,0.0,-1.0,0.5722250380131779,0.051368502892496025,0.9791180942726811,0.024719518310125723,Success
14-15,pointcloud_0060.pcd,pointcloud_0056.pcd,0.0,-1.0,0.5874859879751351,0.052234617348237096,0.9719759502700499,0.025027422127216585,Success
15-16,pointcloud_0064.pcd,pointcloud_0060.pcd,0.0,-1.0,0.5804932964896121,0.05233042804477719,0.972981271108382,0.02438155151416646,Success
16-17,pointcloud_0068.pcd,pointcloud_0064.pcd,0.0,-1.0,0.5855642504118617,0.05160387392351698,0.9749794069192751,0.0236905537730254,Success
17-18,pointcloud_0072.pcd,pointcloud_0068.pcd,0.0,-1.0,0.5750659362953946,0.05245219147324299,0.9757557313856766,0.02440753897779323,Success
18-19,pointcloud_0076.pcd,pointcloud_0072.pcd,0.0,-1.0,0.5929973689536531,0.05179910229466388,0.974802671523983,0.024464958154260873,Success
19-20,pointcloud_0080.pcd,pointcloud_0076.pcd,0.0,-1.0,0.5850126582278481,0.05177893844936637,0.9785316455696202,0.02383044871326322,Success
20-21,pointcloud_0084.pcd,pointcloud_0080.pcd,0.0,-1.0,0.5931442562742297,0.05202219013978454,0.9761273209549072,0.02403572398943047,Success
21-22,pointcloud_0088.pcd,pointcloud_0084.pcd,0.0,-1.0,0.5804580152671756,0.05233892092678396,0.982086513994911,0.023640348064820824,Success
22-23,pointcloud_0092.pcd,pointcloud_0088.pcd,0.0,-1.0,0.601762656282025,0.05171403442234012,0.9811436769829883,0.0241634039245115,Success
23-24,pointcloud_0096.pcd,pointcloud_0092.pcd,0.0,-1.0,0.5922448979591837,0.05173133036789831,0.9830612244897959,0.02326304744467854,Success
24-25,pointcloud_0100.pcd,pointcloud_0096.pcd,0.0,-1.0,0.5977397678680513,0.051577310593451275,0.9798411728772144,0.024942672317943265,Success
25-26,pointcloud_0104.pcd,pointcloud_0100.pcd,0.0,-1.0,0.5870490474260235,0.051079112357885266,0.9869274422375355,0.02377973879283692,Success
26-27,pointcloud_0108.pcd,pointcloud_0104.pcd,0.0,-1.0,0.5962764342810888,0.05145495731193421,0.9826975614691895,0.025103096795854252,Success
27-28,pointcloud_0112.pcd,pointcloud_0108.pcd,0.0,-1.0,0.5959150159088576,0.05103558223011491,0.9876834650518321,0.023792718646672414,Success
28-29,pointcloud_0116.pcd,pointcloud_0112.pcd,0.0,-1.0,0.5980442090251604,0.05147371427547612,0.9716817765101354,0.025610623990087605,Success
29-30,pointcloud_0120.pcd,pointcloud_0116.pcd,0.0,-1.0,0.6014907085971003,0.05125118663129995,0.9844802940575863,0.023270203600703053,Success
30-31,pointcloud_0124.pcd,pointcloud_0120.pcd,0.0,-1.0,0.5955724095521164,0.051663772597831004,0.9756072563287896,0.023692053317265045,Success
31-32,pointcloud_0128.pcd,pointcloud_0124.pcd,0.0,-1.0,0.6023122570083896,0.0521932236288856,0.9875179046449765,0.023282950068293846,Success
32-33,pointcloud_0132.pcd,pointcloud_0128.pcd,0.0,-1.0,0.5985872235872236,0.05185319523333445,0.9805487305487306,0.02418959648199809,Success
33-34,pointcloud_0136.pcd,pointcloud_0132.pcd,0.0,-1.0,0.5933490711279893,0.05168914003028875,0.9871702760956584,0.022998727225573015,Success
34-35,pointcloud_0140.pcd,pointcloud_0136.pcd,0.0,-1.0,0.5939949109414758,0.05157835341163557,0.9809669211195928,0.024707551172530474,Success
35-36,pointcloud_0144.pcd,pointcloud_0140.pcd,0.0,-1.0,0.5871235091974935,0.051697425138450215,0.9850414392561149,0.024159838667111955,Success
