pair,source,target,ransac_fitness,ransac_rmse,initial_fitness_icp,initial_rmse_icp,final_fitness,final_rmse
0-1,pointcloud_0004.pcd,pointcloud_0000.pcd,0.9648277276456112,0.01856191317021552,0.9648277276456112,0.018561913170215525,0.964622641509434,0.017889006185278507
1-2,pointcloud_0008.pcd,pointcloud_0004.pcd,0.9586185756615919,0.01973319966108218,0.9586185756615919,0.01973319966108218,0.9604577500766323,0.01845568900036694
2-3,pointcloud_0012.pcd,pointcloud_0008.pcd,0.9558551142210331,0.02025766788898961,0.9558551142210331,0.02025766788898961,0.957192838032517,0.018557485985452864
3-4,pointcloud_0016.pcd,pointcloud_0012.pcd,0.9621822690638562,0.01993233343023012,0.9621822690638562,0.01993233343023012,0.9624922504649721,0.019708938473855266
4-5,pointcloud_0020.pcd,pointcloud_0016.pcd,0.9628103430514062,0.019615224590978884,0.9628103430514062,0.01961522459097888,0.9636344905738127,0.01904481340151618
5-6,pointcloud_0024.pcd,pointcloud_0020.pcd,0.9437771795402775,0.021698536250009916,0.9437771795402775,0.02169853625000992,0.9454338372333817,0.018712666784996963
6-7,pointcloud_0028.pcd,pointcloud_0024.pcd,0.9443700422375605,0.020217361664612445,0.9443700422375605,0.020217361664612445,0.9452972082002679,0.019240224104807593
7-8,pointcloud_0032.pcd,pointcloud_0028.pcd,0.9614625532356913,0.020280586599685065,0.9614625532356913,0.020280586599685065,0.9635400436272982,0.01818194057165322
8-9,pointcloud_0036.pcd,pointcloud_0032.pcd,0.933807609031859,0.02146811258808028,0.933807609031859,0.02146811258808028,0.9392720899061759,0.02081228756757522
9-10,pointcloud_0040.pcd,pointcloud_0036.pcd,0.8987458881578947,0.02115764245734735,0.8987458881578947,0.021157642457347345,0.899157072368421,0.02020775664822456
10-11,pointcloud_0044.pcd,pointcloud_0040.pcd,0.9169838493982101,0.021772500048925246,0.9169838493982101,0.021772500048925246,0.9200699516510648,0.01950079520560873
11-12,pointcloud_0048.pcd,pointcloud_0044.pcd,0.9043869516310461,0.021889447356901418,0.9043869516310461,0.021889447356901418,0.9062276306370795,0.01957083097607278
12-13,pointcloud_0052.pcd,pointcloud_0048.pcd,0.9263264274886306,0.020459997442311716,0.9263264274886306,0.020459997442311716,0.9294593228903487,0.019162307839336905
13-14,pointcloud_0056.pcd,pointcloud_0052.pcd,0.9241763811454637,0.019421182260440747,0.9241763811454637,0.019421182260440747,0.927318803852002,0.019401839751867142
14-15,pointcloud_0060.pcd,pointcloud_0056.pcd,0.9152145113624783,0.020563941070583073,0.9152145113624783,0.020563941070583073,0.9176602466116376,0.019977878131609877
15-16,pointcloud_0064.pcd,pointcloud_0060.pcd,0.9242656841674343,0.02013793683448635,0.9242656841674343,0.02013793683448635,0.9255961518780064,0.019276932359225594
16-17,pointcloud_0068.pcd,pointcloud_0064.pcd,0.92833607907743,0.021042688120873128,0.92833607907743,0.021042688120873128,0.931836902800659,0.01919347446541322
17-18,pointcloud_0072.pcd,pointcloud_0068.pcd,0.839622641509434,0.034059421617852165,0.839622641509434,0.034059421617852165,0.9266585514303104,0.01932364469393183
18-19,pointcloud_0076.pcd,pointcloud_0072.pcd,0.9226877150374418,0.021400908117395496,0.9226877150374418,0.021400908117395492,0.9288605545436146,0.019501634084154566
19-20,pointcloud_0080.pcd,pointcloud_0076.pcd,0.9337721518987342,0.019872913732937234,0.9337721518987342,0.019872913732937234,0.9350886075949367,0.019562533259662847
