pair,source,target,ransac_fitness,ransac_rmse,initial_fitness_icp,initial_rmse_icp,final_fitness,final_rmse
0-1,pointcloud_0004.pcd,pointcloud_0000.pcd,0.9450369155045119,0.02533200161743412,0.9450369155045119,0.02533200161743412,0.9647251845775225,0.017896729573529963
1-2,pointcloud_0008.pcd,pointcloud_0004.pcd,0.9598446919382855,0.020107806120169297,0.9598446919382855,0.020107806120169297,0.9604577500766323,0.018453298405064412
2-3,pointcloud_0012.pcd,pointcloud_0008.pcd,0.9552377032311176,0.01993079040789361,0.9552377032311176,0.01993079040789361,0.9570899362008644,0.018547137634087555
3-4,pointcloud_0016.pcd,pointcloud_0012.pcd,0.9563959495763588,0.023457219028012042,0.9563959495763588,0.023457219028012042,0.9625955775986774,0.019714987192993187
4-5,pointcloud_0020.pcd,pointcloud_0016.pcd,0.9604409189244875,0.021150116986764212,0.9604409189244875,0.021150116986764212,0.9636344905738127,0.019045100489661317
5-6,pointcloud_0024.pcd,pointcloud_0020.pcd,0.9436736384344585,0.021354494551697783,0.9436736384344585,0.021354494551697783,0.9454338372333817,0.018712733482364335
6-7,pointcloud_0028.pcd,pointcloud_0024.pcd,0.9398372308643247,0.02209467667739668,0.9398372308643247,0.02209467667739668,0.9452972082002679,0.019239465875155567
7-8,pointcloud_0032.pcd,pointcloud_0028.pcd,0.9516983483951387,0.024804928714620568,0.9516983483951387,0.02480492871462057,0.9635400436272982,0.018181927387365647
8-9,pointcloud_0036.pcd,pointcloud_0032.pcd,0.9222600268068873,0.024793168043721045,0.9222600268068873,0.024793168043721045,0.9392720899061759,0.02081254986240946
9-10,pointcloud_0040.pcd,pointcloud_0036.pcd,0.7857730263157895,0.02839616488974357,0.7857730263157895,0.02839616488974357,0.899157072368421,0.020207677789288763
10-11,pointcloud_0044.pcd,pointcloud_0040.pcd,0.9080341528649316,0.023641227203418984,0.9080341528649316,0.02364122720341898,0.9200699516510648,0.019500830086165318
11-12,pointcloud_0048.pcd,pointcloud_0044.pcd,0.8757541670927498,0.026888259922424662,0.8757541670927498,0.02688825992242466,0.9063298905818591,0.01957671560758845
12-13,pointcloud_0052.pcd,pointcloud_0048.pcd,0.9285497726124305,0.019964982122201755,0.9285497726124305,0.019964982122201755,0.9294593228903487,0.019162482473277447
